Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss
1,0.6351000070571899,0.7937999963760376,0.6322841048240662,0.46026143431663513
2,0.8342000246047974,0.899399995803833,0.3839735984802246,0.2547782361507416
3,0.8971499800682068,0.9082000255584717,0.2603279948234558,0.2327079325914383
4,0.9303500056266785,0.9138000011444092,0.1906980276107788,0.2262607216835022
5,0.9521499872207642,0.9111999869346619,0.13540354371070862,0.24850311875343323
6,0.9684000015258789,0.9056000113487244,0.09134305268526077,0.2654392421245575
7,0.9792500138282776,0.8935999870300293,0.06322190910577774,0.338007390499115
8,0.985450029373169,0.8924000263214111,0.04225046932697296,0.37139829993247986
9,0.9902499914169312,0.8942000269889832,0.030748846009373665,0.43750131130218506
10,0.9919000267982483,0.8867999911308289,0.02533486858010292,0.45340922474861145
11,0.9943000078201294,0.8902000188827515,0.01668059453368187,0.48629438877105713
12,0.9958000183105469,0.890999972820282,0.013380574062466621,0.46896958351135254
13,0.9962499737739563,0.8840000033378601,0.011529906652867794,0.531775951385498
14,0.9963499903678894,0.8802000284194946,0.010956850834190845,0.6120362281799316
15,0.9971500039100647,0.8808000087738037,0.008287502452731133,0.7382522821426392
